trade_num,side,exit_type,net_pnl,strike,expiry,spot_r,spot_p,bid_entry,ask_entry,mark_entry,delta_p,delta_r
203,Short call,ask,213.52,117000.0,12SEP25,108781.0,108952.0,0.0046,0.0048,0.0048,0.146,0.15
204,Short call,ask,163.97,116000.0,12SEP25,107870.0,108042.0,0.0047,0.005,0.005,0.15,0.15
205,Short put,ask,582.17,104000.0,12SEP25,110220.0,110450.0,0.0065,0.007,0.0068,0.179,0.15
206,Short put,ask,456.79,104000.0,12SEP25,110717.0,110863.0,0.005,0.006,0.0055,0.157,0.15
207,Short put,ask,612.76,102000.0,19SEP25,110691.0,110949.0,0.007,0.0075,0.0072,0.154,0.15
208,Short put,ask,501.53,102000.0,19SEP25,111614.0,111850.0,0.0055,0.006,0.0057,0.129,0.15
209,Short put,ask,539.95,104000.0,19SEP25,111023.0,111211.0,0.006,0.007,0.0065,0.166,0.15
210,Short put,ask,448.09,105000.0,19SEP25,112233.0,112387.0,0.005,0.0055,0.0052,0.147,0.15
211,Short put,ask,441.77,106000.0,26SEP25,114312.0,114673.0,0.006,0.0065,0.0064,0.15,0.15
212,Short put,ask,346.48,108000.0,26SEP25,115710.0,116124.0,0.005,0.0055,0.0053,0.143,0.15
213,Short call,ask,366.24,124000.0,26SEP25,115821.0,116162.0,0.0047,0.005,0.005,0.158,0.15
214,Short call,ask,286.8,124000.0,26SEP25,115931.0,116272.0,0.0039,0.0041,0.004,0.139,0.15
215,Short put,ask,82.89,110000.0,26SEP25,116608.0,116976.0,0.0055,0.0065,0.0059,0.165,0.15
216,Short call,ask,530.68,120000.0,3OCT25,114027.0,113972.0,0.005,0.006,0.0051,0.177,0.15
217,Short call,ask,249.19,119000.0,3OCT25,112750.0,112838.0,0.004,0.0042,0.0042,0.158,0.15
218,Short put,ask,443.95,110000.0,17OCT25,118450.0,118747.0,0.006,0.007,0.0065,0.154,0.15
219,Short put,ask,358.02,112000.0,17OCT25,120017.0,120395.0,0.0055,0.006,0.0057,0.149,0.15
220,Short call,ask,636.85,123000.0,24OCT25,112521.0,112541.0,0.0065,0.007,0.0068,0.159,0.15
221,Short call,ask,632.79,123000.0,24OCT25,111800.0,111915.0,0.0065,0.0075,0.0072,0.157,0.15
222,Short call,ask,508.95,125000.0,24OCT25,114702.0,114905.0,0.0055,0.006,0.006,0.151,0.15
223,Short call,ask,438.8,122000.0,31OCT25,110995.0,111217.0,0.0065,0.007,0.0066,0.153,0.15
224,Short call,ask,273.96,120000.0,31OCT25,108461.0,108678.0,0.006,0.0065,0.0061,0.14,0.15
225,Short put,ask,801.01,98000.0,31OCT25,106914.0,107104.0,0.0085,0.009,0.0087,0.165,0.15
226,Short put,ask,707.73,102000.0,31OCT25,111061.0,111267.0,0.0075,0.008,0.0078,0.157,0.15
227,Short put,ask,541.24,98000.0,7NOV25,108989.0,109244.0,0.008,0.009,0.0086,0.146,0.15
228,Short put,ask,297.96,102000.0,7NOV25,111316.0,111479.0,0.0075,0.0085,0.008,0.158,0.15
229,Short put,ask,384.47,103000.0,7NOV25,111402.0,111563.0,0.007,0.0075,0.0073,0.159,0.15
230,Short put,ask,416.44,103000.0,7NOV25,111646.0,111798.0,0.0065,0.007,0.0067,0.151,0.15
231,Short put,ask,402.8,100000.0,14NOV25,107475.0,107586.0,0.0075,0.0085,0.008,0.175,0.15
232,Short call,ask,449.0,113000.0,14NOV25,104741.0,104820.0,0.0055,0.006,0.0058,0.157,0.15
233,Short call,ask,299.68,113000.0,21NOV25,103299.0,103514.0,0.006,0.0065,0.0062,0.151,0.15
234,Short call,ask,376.67,112000.0,21NOV25,101791.0,101938.0,0.006,0.0065,0.0061,0.144,0.15
235,Short call,ask,450.27,98000.0,28NOV25,89546.0,89579.0,0.006,0.0065,0.0065,0.154,0.15
236,Short put,ask,428.01,84000.0,5DEC25,91891.0,92086.0,0.0105,0.0115,0.0109,0.18,0.15
