date,nav_open,nav_high,nav_low,nav_close,nav_close_realized,return_pct,drawdown_pct,active_slots,eod_slot
2025-12-09,120883.21289500006,121111.58472500005,120686.10972500005,121156.48872500006,121111.58472500005,21.1565,-0.3513,A,A
2025-12-10,121156.48872500006,121384.56177500005,120929.72427500004,121384.56177500005,121384.56177500005,21.3846,-0.3747,A,
2025-12-11,121384.56177500005,121384.56177500005,121384.56177500005,121384.56177500005,121384.56177500005,21.3846,-0.0,,
2025-12-12,121384.56177500005,121384.87977500005,120903.82877500006,121688.59177500005,121384.56177500005,21.6886,-0.3963,C,C
2025-12-13,121688.59177500005,121776.17444500006,121688.45444500005,121776.17444500006,121776.17444500006,21.7762,-0.072,C,
2025-12-14,121776.17444500006,121776.17444500006,121776.17444500006,121776.17444500006,121776.17444500006,21.7762,-0.0,,
2025-12-15,121776.17444500006,121869.44194500006,121623.26244500006,121682.90594500006,121776.17444500006,21.6829,-0.202,A,A
2025-12-16,121682.90594500006,121991.23263000004,121486.84213000005,121957.78113000005,121913.64463000005,21.9578,-0.4135,A,A
2025-12-17,121957.78113000005,122290.33033000006,121981.22033000005,122088.97833000004,122189.65283000005,22.089,-0.2528,A,A
2025-12-18,122088.97833000004,122397.02030500006,121854.76530500007,122397.02030500006,122397.02030500006,22.397,-0.443,A,
2025-12-19,122397.02030500006,122397.04330500006,121887.81530500005,122747.01730500004,122397.02030500006,22.747,-0.416,C,C
2025-12-20,122747.01730500004,122786.66310500006,122747.01310500005,122786.66310500006,122786.66310500006,22.7867,-0.0323,C,
2025-12-21,122786.66310500006,122786.66310500006,122786.66310500006,122786.66310500006,122786.66310500006,22.7867,-0.0,,
2025-12-22,122786.66310500006,122880.66310500006,122632.97310500006,122692.66360500007,122786.66310500006,22.6927,-0.2016,A,A
2025-12-23,122692.66360500007,122948.45723500007,122561.25423500006,122901.49623500006,122924.97673500006,22.9015,-0.3149,A,A
2025-12-24,122901.49623500006,123133.57391000006,122838.98391000005,123195.07891000005,123133.50391000006,23.1951,-0.2392,A,A
2025-12-25,123195.07891000005,123346.48024000006,123047.52774000005,123296.11874000006,123273.10274000006,23.2961,-0.2424,A,A
2025-12-26,123296.11874000006,123738.46624000007,123076.39124000006,124095.47074000006,123738.46624000007,24.0955,-0.5351,"A,C",C
2025-12-27,124095.47074000006,124095.47182500007,124095.47182500007,124095.47182500007,124095.47182500007,24.0955,-0.0,C,
2025-12-28,124095.47182500007,124095.47182500007,124095.47182500007,124095.47182500007,124095.47182500007,24.0955,-0.0,,
2025-12-29,124095.47182500007,124360.60067500008,123885.74767500008,124171.09267500007,124265.84767500007,24.1711,-0.3818,"A,B",A
2025-12-30,124171.09267500007,124406.39420000007,124092.35420000006,124406.39420000007,124406.39420000007,24.4064,-0.2524,A,
2025-12-31,124406.39420000007,124406.39420000007,123933.44420000007,124601.86020000007,124406.39420000007,24.6019,-0.3802,A,A
2026-01-01,124601.86020000007,124854.86540000007,124539.43040000007,124663.89540000007,124759.38040000007,24.6639,-0.2526,A,A
2026-01-02,124663.89540000007,124900.85931500007,124377.23131500007,125217.27831500006,124900.79931500007,25.2173,-0.4192,"A,C",C
2026-01-03,125217.27831500006,125297.32746500007,125217.25746500006,125297.32746500007,125297.32746500007,25.2973,-0.0639,C,
2026-01-04,125297.32746500007,125297.32746500007,125297.32746500007,125297.32746500007,125297.32746500007,25.2973,-0.0,,
2026-01-05,125297.32746500007,125297.32746500007,125297.32746500007,125297.32746500007,125297.32746500007,25.2973,-0.0,,
2026-01-06,125297.32746500007,125297.32746500007,125297.32746500007,125297.32746500007,125297.32746500007,25.2973,-0.0,,
2026-01-07,125297.32746500007,125314.59246500008,125138.69246500007,125280.05846500007,125297.32746500007,25.2801,-0.1404,A,A
2026-01-08,125280.05846500007,125456.01401500005,125136.33901500006,125423.57301500007,125439.79401500006,25.4236,-0.2548,A,A
2026-01-09,125423.57301500007,125582.00590500006,125244.91590500006,125696.18690500007,125581.95090500006,25.6962,-0.2684,"A,C",C
2026-01-10,125696.18690500007,125762.70034000007,125696.13534000007,125762.70034000007,125762.70034000007,25.7627,-0.0529,C,
2026-01-11,125762.70034000007,125762.70034000007,125762.70034000007,125762.70034000007,125762.70034000007,25.7627,-0.0,,
2026-01-12,125762.70034000007,125786.98034000008,125603.12034000008,125738.41784000007,125762.70034000007,25.7384,-0.1462,A,A
2026-01-13,125738.41784000007,125976.35819000007,125335.74819000007,126031.37819000008,125976.35819000007,26.0314,-0.5085,A,A
2026-01-14,126031.37819000008,126216.65386500007,125895.67386500008,126166.47386500008,126191.56386500008,26.1665,-0.2543,A,A
2026-01-15,126166.47386500008,126520.55458500008,126120.76958500007,126292.64208500007,126406.59958500008,26.2926,-0.316,A,A
2026-01-16,126292.64208500007,126694.09063500007,126131.25563500007,126814.64713500006,126694.09063500007,26.8146,-0.4442,"A,C",C
2026-01-17,126814.64713500006,126814.64644500008,126814.64644500008,126814.64644500008,126814.64644500008,26.8146,-0.0,C,
2026-01-18,126814.64644500008,126814.64644500008,126814.64644500008,126814.64644500008,126814.64644500008,26.8146,-0.0,,
2026-01-19,126814.64644500008,126929.70144500009,126572.36644500008,126699.58844500007,126814.64644500008,26.6996,-0.2815,A,A
2026-01-20,126699.58844500007,127949.14957000008,125838.32457000008,126259.93457000008,127104.53957000008,26.2599,-1.6497,A,A
2026-01-21,126259.93457000008,127717.01894500008,126199.58394500008,127362.15794500009,127539.58894500008,27.3622,-1.3674,A,A
2026-01-22,127362.15794500009,127687.09705500008,127254.85705500007,127792.89405500008,127685.76205500009,27.7929,-0.5426,A,A
2026-01-23,127792.89405500008,128174.85815500008,127683.72315500007,128350.60865500008,128174.85815500008,28.3506,-0.3832,"A,C",C
2026-01-24,128350.60865500008,128417.24502500008,128283.97202500008,128417.24502500008,128417.24502500008,28.4172,-0.1038,C,
2026-01-25,128417.24502500008,128417.24502500008,128417.24502500008,128417.24502500008,128417.24502500008,28.4172,-0.0,,
2026-01-26,128417.24502500008,128501.00502500008,128172.82502500009,128389.22602500008,128417.24502500008,28.3892,-0.2554,A,A
2026-01-27,128389.22602500008,128655.38871500008,128323.45371500007,128621.1402150001,128638.26371500008,28.6211,-0.258,A,A
2026-01-28,128621.1402150001,128803.13120500007,128555.32620500008,128769.0297050001,128786.08120500008,28.769,-0.1924,A,A
2026-01-29,128769.0297050001,128936.20760500009,128621.59760500009,128999.30610500008,128934.87760500009,28.9993,-0.244,A,A
2026-01-30,128999.30610500008,129473.61510500009,122003.4021050001,129627.58810500009,129431.4871050001,29.6276,-5.7697,"A,C",C
2026-01-31,129627.58810500009,129835.81193500009,129627.65193500009,129835.81193500009,129835.81193500009,29.8358,-0.1603,C,
2026-02-01,129835.81193500009,129835.81193500009,129835.81193500009,129835.81193500009,129835.81193500009,29.8358,-0.0,,
2026-02-02,129835.81193500009,130274.4528550001,129486.36785500009,130379.17685500009,130217.53785500009,30.3792,-0.6049,"A,B",A
2026-02-03,130379.17685500009,130717.02545500008,130378.02545500008,130717.02545500008,130717.02545500008,30.717,-0.2593,A,
2026-02-04,130717.02545500008,130717.02545500008,130717.02545500008,130717.02545500008,130717.02545500008,30.717,-0.0,,
2026-02-05,130717.02545500008,130717.02545500008,130717.02545500008,130717.02545500008,130717.02545500008,30.717,-0.0,,
2026-02-06,130717.02545500008,130717.02545500008,130219.45245500008,131034.35195500008,130717.02545500008,31.0344,-0.3806,C,C
2026-02-07,131034.35195500008,131130.6053050001,130998.1453050001,131130.6053050001,131130.6053050001,31.1306,-0.101,C,
2026-02-08,131130.6053050001,131130.6053050001,131130.6053050001,131130.6053050001,131130.6053050001,31.1306,-0.0,,
2026-02-09,131130.6053050001,131495.1446650001,130273.02466500008,131227.75466500007,131361.44966500008,31.2278,-0.9294,"A,B",A
2026-02-10,131227.75466500007,131865.69961500008,130444.79961500008,132017.72961500008,131864.53961500007,32.0177,-1.0775,A,A
2026-02-11,132017.72961500008,132929.88593500006,131964.65593500005,131814.22093500005,132372.05093500006,31.8142,-0.7261,A,A
2026-02-12,131814.22093500005,132902.91098500008,131526.78098500008,132947.1599850001,132830.62098500007,32.9472,-1.0555,A,A
2026-02-13,132947.1599850001,133344.16023500008,132731.65023500007,133725.0342350001,133344.15523500007,33.725,-0.4593,"A,C",C
2026-02-14,133725.0342350001,133755.67763500006,133694.46263500006,133755.67763500006,133755.67763500006,33.7557,-0.0458,C,
2026-02-15,133755.67763500006,133755.67763500006,133755.67763500006,133755.67763500006,133755.67763500006,33.7557,-0.0,,
2026-02-16,133755.67763500006,133861.84263500007,133583.90763500007,133649.51263500005,133755.67763500006,33.6495,-0.2076,A,A
2026-02-17,133649.51263500005,134023.54158500006,133500.40158500004,133798.22158500005,133910.88158500005,33.7982,-0.3903,A,A
2026-02-18,133798.22158500005,134144.20771500006,133371.48271500005,134314.49771500003,134143.78771500004,34.3145,-0.576,A,A
2026-02-19,134314.49771500003,134787.14556500007,134311.56056500005,134539.47356500005,134663.31056500005,34.5395,-0.3528,A,A
2026-02-20,134539.47356500005,134977.97429000004,134058.74429000003,135327.34579000005,134977.90929000004,35.3273,-0.681,"A,C",C
2026-02-21,135327.34579000005,135393.98829000004,135294.06329000002,135393.98829000004,135393.98829000004,35.394,-0.0738,C,
2026-02-22,135393.98829000004,135393.98829000004,135393.98829000004,135393.98829000004,135393.98829000004,35.394,-0.0,,
2026-02-23,135393.98829000004,135509.33622000003,134793.51372000002,135595.42922000002,135509.33622000003,35.5954,-0.5282,"A,B",A
2026-02-24,135595.42922000002,136096.54792000004,135043.15792000003,135977.10892000003,136036.82792000004,35.9771,-0.774,A,A
2026-02-25,135977.10892000003,136566.57787000004,131697.30787000002,136566.57787000004,136566.57787000004,36.5666,-3.5655,A,
2026-02-26,136566.57787000004,136641.61787000005,136195.49787000002,136577.89887000003,136566.57787000004,36.5779,-0.3265,A,A
2026-02-27,136577.89887000003,137099.96392000004,136429.10892000003,137444.18142000004,137099.96392000004,37.4442,-0.4893,"A,C",C
2026-02-28,137444.18142000004,137518.28287000002,136545.03787000003,137518.28287000002,137518.28287000002,37.5183,-0.7077,C,
2026-03-01,137518.28287000002,137518.28287000002,137518.28287000002,137518.28287000002,137518.28287000002,37.5183,-0.0,,
2026-03-02,137518.28287000002,138237.13147000002,136570.86647,137573.24247,137905.18647000002,37.5732,-1.2054,"A,B",A
2026-03-03,137573.24247,138442.82907,137291.02406999998,138543.05257,138442.82907,38.5431,-0.832,A,A
2026-03-04,138543.05257,139095.15577,138487.55577000004,138870.23227000004,138982.69577000002,38.8702,-0.4368,A,A
2026-03-05,138870.23227000004,139528.55567000003,138672.02067000003,139671.20767000003,139528.55567000003,39.6712,-0.6139,A,A
2026-03-06,139671.20767000003,140077.24852000002,139400.75352000003,140388.59152000002,140077.24852000002,40.3886,-0.4829,"A,C",C
